Name;Time;CO2Sensor;PIRSensor;Temperature;Lightstate;Airflow;Air Valve Position;Air Valve Position;Air Valve Position;Air Valve Position;Air Valve Position;
ID;00;37 - 490593;83 - 332734;5 - 223731;56 - 332794;48 - 332774;69 - 222413;69 - 222559;69 - 286356;69 - 222705;69 - 286680;
01-01-2014 06:00:00;41640.25;419.284;0;18.51;0;0;90;90;0;0;0;
01-01-2014 07:00:00;41640.29166666666;418.168;0;18.5067;0;0;90;90;10;0;0;
01-01-2014 08:00:00;41640.33333333334;415.747;0;18.4967;0;0;30;30;60;0;0;
01-01-2014 09:00:00;41640.375;416;0;18.501;0;0;10;10;60;0;0;
01-01-2014 10:00:00;41640.41666666666;416.7;0;18.49;0;0;30;30;60;0;0;
01-01-2014 11:00:00;41640.45833333334;416;0;18.53;0;0;30;30;60;0;0;
01-01-2014 12:00:00;41640.5;418;0;18.51;0;0;30;30;60;0;0;
01-01-2014 13:00:00;41640.54166666666;415;0;18.59;0;0;30;30;60;0;0;
01-01-2014 14:00:00;41640.58333333334;415.051;0;18.6137;0;0;30;30;60;0;0;
01-01-2014 15:00:00;41640.625;414;0;18.61;0;0;30;30;60;0;0;
01-01-2014 16:00:00;41640.66666666666;411.29;0;18.6213;0;0;30;30;60;0;0;
01-01-2014 17:00:00;41640.70833333334;411.591;0;18.5905;0;0;30;30;60;0;0;
01-01-2014 18:00:00;41640.75;409.652;0;18.602;0;0;10;10;60;0;0;
01-01-2014 19:00:00;41640.79166666666;409.216;0;18.5834;0;0;10;10;60;0;0;
01-01-2014 20:00:00;41640.83333333334;408;0;18.57;0;0;20;10;60;0;0;
01-01-2014 21:00:00;41640.875;408.067;0;18.57;0;0;20;10;60;0;0;
01-01-2014 22:00:00;41640.91666666666;407;0;18.55;0;0;20;10;60;0;0;
